Race : 1439
{place=1, name='MALLORY STACH', school='Prior Lake', grade=9, gender='F', time=1142.19}
{place=112, name='Cristin Curwick', school='Osseo', grade=12, gender='F', time=1386.41}
{place=113, name='Anna Gislason', school='Bemidji', grade=12, gender='F', time=1399.1}
{place=114, name='Kayla Brinkoetter', school='Park-Cottage Grove', grade=12, gender='F', time=1428.29}
{place=115, name='Quinn Schollett', school='Bemidji', grade=12, gender='F', time=1429.3}
{place=116, name='Tate Abrahamson', school='Park-Cottage Grove', grade=8, gender='F', time=1430.92}
{place=117, name='Laurel Watters', school='Park-Cottage Grove', grade=8, gender='F', time=1435.98}
{place=118, name='Kaiya Carlson', school='Centennial', grade=11, gender='F', time=1437.83}
{place=119, name='Tori Michaud', school='Park-Cottage Grove', grade=11, gender='F', time=1438.21}
{place=120, name='Olivia Bedard', school='Park-Cottage Grove', grade=8, gender='F', time=1440.85}
{place=121, name='Sammy Strootman', school='Osseo', grade=12, gender='F', time=1451.29}
{place=122, name='Joanna Lee', school='Osseo', grade=12, gender='F', time=1465.41}
{place=123, name='Amanda Stevens', school='Tartan', grade=11, gender='F', time=1500.54}
{place=124, name='Britta Kamrath', school='Champlin Park', grade=12, gender='F', time=1513.94}
{place=125, name='Marielle Seeleman', school='Buffalo', grade=12, gender='F', time=1531.91}
{place=126, name='Annia Alventosa Pijuan', school='St Francis', grade=11, gender='F', time=1544.35}
{place=127, name='Adreiana Aurelius', school='Tartan', grade=9, gender='F', time=1550.85}
{place=128, name='Allyssa Fleagle', school='St Francis', grade=12, gender='F', time=1560.0}
{place=129, name='Abbie Sonstegard', school='Tartan', grade=12, gender='F', time=1608.37}
{place=130, name='Hannah Solberg', school='St Francis', grade=11, gender='F', time=1623.89}
{place=131, name='Saije Dann', school='Champlin Park', grade=11, gender='F', time=1651.37}
{place=132, name='Archie Brallier', school='Buffalo', grade=11, gender='F', time=1740.54}
